scenario,method,rep,effort,saved-effort
acotsp,PEMW.7,13,57850.30420246119,0.5141365432700833
acotsp,PD.8,13,50369.504858827546,0.5769650292790833
acotsp,PEMW.9,13,86911.53709249495,0.2700619223420875
acotsp,PD.2,13,71624.0165410518,0.3984561923870463
acotsp,AD.4,13,94342.56917271623,0.2076514132991012
acotsp,PD.4,13,79093.70409650801,0.3357210302056175
acotsp,AD.6,13,81557.02199068067,0.31503252798272896
acotsp,PEMW.5,13,29319.917990732192,0.7537527779256041
acotsp,PD.6,13,66478.66643242828,0.4416700980756376
acotsp,PEBB,13,27973.803401279445,0.7650582999380235
acotsp,AEBB,14,58420.747293043125,0.5128535369529232
acotsp,AEWW,14,93465.70326943409,0.2206281351465285
acotsp,AD.8,14,64858.03516898152,0.4591756542540032
acotsp,PEMB.5,14,25224.55217871665,0.7896628861289567
acotsp,PEMB.9,14,64138.95330553053,0.4651717806757404
acotsp,---,14,119924.40000000055,0.0
acotsp,PEWW,14,55726.438160800906,0.5353202670949311
acotsp,PEMB.7,14,29311.655865144712,0.7555822179210855
acotsp,AD.2,14,103862.3855937006,0.13393449878673458
acotsp,PEMW.7,14,71695.95720882407,0.4021570488672552
acotsp,PD.8,14,51988.13205118176,0.5664924564877413
acotsp,PEMW.9,14,97310.14309334764,0.1885709405813396
acotsp,PD.2,14,72341.84274692532,0.39677127634639003
acotsp,AD.4,14,93619.64607992176,0.21934446968322266
acotsp,PD.4,14,76728.06608481404,0.3601963730082144
acotsp,AD.6,14,82716.82077527043,0.31025862313866026
acotsp,PEMW.5,14,30136.843598651874,0.7487013185085626
acotsp,PD.6,14,65621.23685426704,0.4528116308752285
acotsp,PEBB,14,26182.08862466811,0.7816783855106384
acotsp,AEBB,18,50911.17865824697,0.5750049363878941
acotsp,AEWW,18,81198.55020680431,0.3221727738420457
acotsp,AD.8,18,66664.97109622954,0.4434958219700968
